Portfolio 3,10/1/2011,10/31/2011,11/30/2011,12/30/2011,1/29/2012,2/28/2012,3/29/2012,4/28/2012,5/23/2012,6/22/2012,7/22/2012,8/21/2012,9/20/2012,10/20/2012,11/19/2012,12/19/2012,1/18/2013,2/15/2013,3/17/2013,4/16/2013,5/16/2013,6/15/2013,7/15/2013,8/14/2013,9/13/2013,10/13/2013,11/12/2013,12/12/2013,1/11/2014,2/10/2014,3/12/2014,4/11/2014,5/11/2014,6/10/2014,7/10/2014,8/9/2014,9/8/2014,10/8/2014,11/7/2014,12/7/2014,1/6/2015,2/5/2015,3/7/2015,4/6/2015,5/6/2015,6/5/2015,7/5/2015,8/4/2015,9/3/2015,10/3/2015,11/2/2015,12/2/2015,12/30/2015,1/29/2016,2/28/2016,3/29/2016,4/28/2016,5/25/2016,6/24/2016,7/24/2016,8/23/2016,9/22/2016,10/22/2016,11/21/2016,12/21/2016,1/20/2017,2/17/2017,3/19/2017,4/18/2017,5/18/2017,6/17/2017,7/17/2017,8/16/2017,9/15/2017,10/15/2017,11/14/2017,12/14/2017,1/13/2018,2/12/2018,3/14/2018,4/13/2018,5/13/2018,6/12/2018,7/12/2018,8/11/2018,9/10/2018,10/10/2018,11/9/2018,12/9/2018,1/8/2019,2/7/2019,3/9/2019,4/8/2019,5/8/2019,6/7/2019,7/7/2019,8/6/2019,9/5/2019,10/5/2019,11/4/2019,12/4/2019,1/3/2020,2/2/2020,3/3/2020,4/2/2020,5/2/2020,6/1/2020,7/1/2020,7/31/2020,8/30/2020,9/29/2020,10/29/2020,11/28/2020,12/28/2020,1/27/2021,2/26/2021,3/28/2021,4/27/2021,5/27/2021,6/26/2021,7/26/2021,8/25/2021,9/24/2021
HPE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0319905,0.0277136,-0.0988764,-0.0361596,0.3298836,-0.0350195,0.0089820,0.0464886,0.1124764,0.0849618,0.0602976,-0.0672083,0.0665083,0.0334076,-0.0423851,0.0668168,-0.0591133,0.0523560,0.0362473,-0.1097394,0.0300462,0.0216904,-0.0102489,0.0991124,-0.1069987,0.0730972,0.1102528,-0.0037951,0.1968254,-0.0769231,0.0109195,-0.1023309,-0.0253325,0.0175439,0.0478927,-0.0792200,0.0403706,-0.0731552,-0.0528483,0.1485507,0.0025237,0.0188798,-0.0518839,-0.0820847,0.0667140,-0.1304059,0.1017598,-0.0034722,0.1602787,-0.0546547,0.0019060,-0.1033608,-0.1096181,-0.2549643,0.0000000,0.0405117,-0.0348361,0.0477707,-0.0202634,-0.0299897,-0.0906183,0.2942556,0.0679348,0.1085666,0.1140015,0.0755495,0.0344828,0.0086420,-0.1107711,-0.0068823,0.0471240,-0.1125083
TECK,-0.3810066,0.4753495,-0.0900249,-0.0356262,0.2085820,-0.0345638,-0.1524598,0.0727011,-0.1770804,0.0231529,-0.0259567,0.0321148,0.0383979,0.0047816,0.0228426,0.1281017,0.0296948,-0.1015477,-0.1181626,-0.1014393,0.0366133,-0.1364974,-0.0515552,0.2362983,-0.0156250,-0.0095976,-0.0320537,-0.1147478,0.0439321,0.0329167,-0.1553046,0.0721108,0.0374165,-0.0631172,0.1177819,-0.0311603,-0.0702497,-0.2080109,-0.0465517,-0.1639542,-0.0497477,0.1335357,-0.0461847,-0.0210526,0.0896057,-0.2335526,-0.1939914,-0.2481363,-0.0354108,-0.1732746,0.0266430,-0.3200692,-0.1035294,-0.0209974,0.5522788,0.2728843,0.5142469,-0.0544747,0.2129630,0.1433418,0.2040059,0.0492914,0.2037581,0.1634146,-0.1161426,0.1185958,-0.0999578,0.0032802,0.0046707,-0.1608554,-0.1451524,0.2546986,0.2164256,-0.1057325,0.0921178,-0.0782609,0.1042453,0.2721059,-0.0433177,-0.0379080,-0.0269974,0.0626172,0.0342272,-0.1620607,-0.0248371,-0.0881002,0.0320513,-0.0758651,0.0096015,0.0480266,0.0639746,-0.0737740,0.1395028,-0.1127273,-0.0273224,0.0168539,-0.1855433,0.0011306,-0.1389046,0.0740984,-0.0335775,0.0701200,-0.2355372,-0.2316602,-0.2693467,0.2077029,0.1013667,0.0548087,-0.0068627,0.1372162,0.2013889,-0.0736994,0.2324493,0.1151899,0.0561862,0.1192907,-0.0816131,0.1719812,0.1008029,-0.0850891,-0.0332152,-0.0032066,0.1387868
HPQ,-0.1347249,0.1995614,0.0493601,-0.0783972,0.0831758,-0.0610820,-0.1022305,0.0538302,-0.1322645,-0.0323326,-0.1026253,0.0877660,-0.1075795,-0.1726027,-0.0960265,0.0805861,0.1932203,-0.0254237,0.3594203,-0.0788913,0.0162037,0.1776765,0.0483559,0.0295203,-0.1881720,0.0375276,0.1468085,0.0148423,0.0566728,0.0242215,0.0270270,0.0970395,0.0104948,0.0252226,0.0057887,0.0402878,0.0594744,-0.0365535,0.0121951,0.0575636,0.0215190,-0.0334572,-0.1320513,-0.0339734,0.0214067,0.0119760,-0.0710059,-0.0270701,-0.0540098,-0.0346021,0.1218638,0.9089457,-0.0558214,-0.1798986,0.1009269,0.1487371,0.0236156,-0.0294352,0.0049180,0.1549755,0.0289548,0.0377488,-0.0760582,0.1453114,-0.0537500,-0.0270806,0.0939643,0.1009404,0.0375854,0.0307355,-0.0580405,0.0440927,0.0270709,0.0263574,0.1191577,-0.0197338,-0.0290262,0.1031823,-0.1079545,0.1504165,-0.0728279,0.0367478,0.0465219,-0.0038103,0.0114747,0.0357143,-0.0158215,0.0305029,-0.0828000,-0.0750109,0.0777935,-0.1671041,0.0472689,-0.0205617,0.0092166,0.0522577,-0.0718419,-0.0176623,-0.1115812,0.0714286,0.1133333,0.0244511,0.0375061,-0.0258216,-0.2534940,-0.0380891,0.0154362,0.1235955,0.0341176,0.1120592,-0.0322251,-0.0602537,0.2334083,0.1067031,0.0238978,0.1657948,0.0724888,0.1081429,-0.0676735,-0.0713396,-0.0446159,0.0319522,-0.0510378
OC,-0.2565123,0.3810219,0.0112755,0.0006969,0.1779248,-0.0490689,0.1100404,-0.0380846,-0.1201794,-0.0570846,-0.0003604,0.1431146,0.1075371,-0.0783030,0.0098857,0.1309269,0.0884501,0.0907469,-0.0474410,-0.0419529,0.1300896,-0.0174484,-0.0618081,-0.0735005,0.0419209,-0.0193532,-0.0727084,0.0677681,0.0831366,-0.0578692,0.1141095,-0.0569781,0.0029354,0.0463415,-0.1312354,-0.0778106,0.0192028,-0.1061947,0.0709039,0.0492097,0.0250142,0.0851359,0.0224891,0.0564859,-0.0936835,0.0655181,0.0110240,0.0826266,0.0026858,-0.0026786,0.0295434,0.0341304,0.0111016,-0.0247044,-0.0707945,0.1057782,-0.0088496,0.0055866,-0.0371648,0.0941106,-0.0090926,-0.0414755,-0.0007658,0.0130293,-0.0001891,0.0247824,0.0876894,0.0741773,-0.0006484,-0.0105434,0.0793443,0.0016707,0.0191054,0.1233447,0.0535099,0.0389741,0.0382381,0.0905594,-0.0892380,-0.0384886,-0.0163534,-0.1792804,-0.0018141,-0.0477056,-0.0785623,0.0469451,-0.1307287,-0.1016499,0.0042221,-0.0676897,0.1718151,-0.0821628,0.0622642,-0.0049339,0.0432368,0.0817490,-0.0284710,0.0265919,0.0696035,0.0456343,0.0308807,-0.0134495,-0.0505035,-0.0758688,-0.3515184,0.1034577,0.3293856,-0.0074239,0.1307031,0.1185712,-0.0001478,-0.0048795,0.0827637,0.0384246,0.0163869,0.0534391,0.1249074,0.0660522,0.0973652,-0.0921966,-0.0397768,0.0376587,-0.0846122
TU,-0.1331811,0.1194030,0.0054902,0.0444618,0.0037341,0.0595238,0.0056180,0.0251397,-0.0378788,0.0272011,0.0439024,0.0453939,0.0031928,-0.0101846,0.0244373,0.0326428,0.0048632,0.0256410,0.0113095,0.0170689,0.0596065,-0.0633534,-0.1096210,-0.0248854,0.0859637,0.0414348,0.0564133,-0.0376616,-0.0105140,-0.0017710,0.0301597,-0.0034443,0.0564516,0.0272628,-0.0281316,-0.0431458,0.0228311,-0.0184152,0.0284252,-0.0088447,-0.0290017,0.0103389,-0.0483229,0.0155317,0.0270588,-0.0269187,0.0182460,-0.0317919,-0.0238806,-0.0036697,0.0208717,-0.0499098,-0.1177582,-0.0099929,0.0504686,0.1056966,-0.0180012,0.0141116,-0.0037951,0.0526984,0.0120627,-0.0184744,-0.0218579,-0.0285537,0.0095847,0.0424051,0.0225610,-0.0465116,0.0343965,0.0078597,0.0311938,0.0255963,0.0079410,0.0230726,-0.0115512,0.0562048,-0.0089568,0.0037214,-0.0492585,0.0005571,-0.0183742,0.0102099,-0.0089837,0.0334278,-0.0071272,0.0138045,-0.0669935,0.0140105,0.0046056,-0.0315186,0.0491124,0.0062042,0.0448430,-0.0182403,0.0295082,-0.0122081,-0.0445997,0.0337458,-0.0272035,-0.0106264,0.0740531,0.0189474,0.0325413,-0.0680340,-0.1486849,0.0157629,0.0924891,-0.0471591,0.0351819,0.0604839,-0.0336773,-0.0320405,0.1219512,0.0351967,0.0415000,-0.0379261,-0.0014970,0.0314843,0.0872093,0.0000000,-0.0191622,0.0417992,-0.0135194
ABT,-0.0342052,0.0741667,0.0124127,0.0306513,-0.0312268,0.0471988,0.0692561,0.0174777,0.0352531,0.0053945,0.0372233,0.0100226,0.0701024,-0.0580317,-0.0438234,0.0381933,0.0473448,0.0727829,-0.0461802,0.0878661,0.0118132,0.0016291,-0.0382217,0.0036640,-0.0207807,-0.0249498,0.1020588,-0.0314919,0.0777074,-0.0498594,0.0672766,-0.0665658,0.0607780,0.0320856,0.0175179,0.0196411,0.0180737,-0.0156505,0.0291884,0.0539543,-0.0286589,0.0281532,0.0258488,-0.0113175,0.0051836,0.0410400,0.0266254,0.0154805,-0.1261136,-0.0623018,0.0976081,-0.0046225,0.0077916,-0.1639055,0.0235139,0.0704698,-0.0253195,-0.1211088,-0.0199069,0.1450805,0.0112877,-0.0382688,-0.0428707,-0.0160851,-0.0382294,0.0580544,0.0964181,0.0064891,-0.0344598,-0.0103615,0.1375058,-0.0026590,0.0215340,0.0391488,0.0554482,0.0069559,-0.0050900,0.0677873,-0.0176249,0.0949312,-0.0695196,0.0603522,0.0145114,-0.0028608,0.0109978,0.0491881,0.0356123,0.0561521,-0.0256903,-0.0369430,0.0650073,0.0697003,0.0091248,-0.0292919,0.0593020,0.0538766,-0.0027030,0.0122555,-0.0565774,0.0145607,0.0360010,0.0083353,0.0136221,-0.1041810,0.0185921,0.1307905,0.0354002,-0.0147296,0.0982104,0.0877385,-0.0390975,-0.0018063,0.0306667,-0.0039734,0.0603024,0.0480357,0.0204542,-0.0043361,-0.0493837,0.0000864,0.0330164,0.0436747,-0.0029662
SWK,-0.2006296,0.3233161,0.0247455,0.0331652,0.0461538,0.0764989,0.0227243,-0.0603648,-0.0547737,-0.1001314,0.0541768,0.0395445,0.1298105,-0.0927551,0.0088087,0.0585457,0.0405680,0.0316897,0.0266378,-0.0429547,0.0438449,-0.0053436,0.0269865,0.0701946,0.0146641,0.0259915,-0.1065735,-0.0155219,-0.0049659,-0.0148472,0.0202634,-0.0369911,0.1261923,0.0099577,-0.0243654,0.0300848,0.0349571,-0.0590543,0.1001621,0.0031576,-0.0239219,0.0336451,0.0112313,-0.0061703,0.0550497,0.0151040,0.0374879,-0.0317564,-0.0450130,0.0050358,0.0753583,0.0191967,-0.0176805,-0.1202089,-0.0034980,0.1244548,0.0633809,0.0241212,-0.0611155,0.1329852,0.0074080,0.0066182,-0.0298701,0.0134705,-0.0359118,0.0274876,0.0536606,0.0360047,0.0000000,0.0286564,0.0529006,0.0319471,-0.0408456,0.0524669,0.0716698,0.0344154,0.0050576,0.0368013,-0.0758435,-0.0077828,-0.0315669,-0.0553141,0.0071797,-0.0683092,0.0184965,0.0381446,-0.0850780,-0.0344775,-0.0308573,0.0509601,-0.0001562,0.0351425,0.0863825,-0.0003472,-0.0434873,0.0523640,-0.0508627,-0.0087981,0.0184126,0.1400994,-0.0315896,0.0902923,-0.0373983,-0.1648536,-0.2877559,0.0861114,0.2035986,0.0840994,0.1305951,0.0520480,0.0011159,0.0239039,0.1147333,-0.0380880,-0.0222235,0.0085953,0.1408717,0.0424124,0.0310201,-0.0445004,0.0055653,-0.0572871,-0.0454218
BIIB,-0.0496405,0.3080303,-0.0121291,-0.0425954,0.0592878,0.0008381,0.0840234,0.0595708,0.0448585,0.0779392,-0.0177696,0.0340767,0.0840057,-0.0689391,-0.0121787,0.0541563,-0.0464232,0.1815279,0.0401467,0.1516051,0.1279407,-0.0887619,0.0797972,-0.0571069,0.1096340,0.0176234,-0.0135000,0.1793300,0.0208634,0.1208619,0.0679141,-0.1930554,0.0968777,0.0495611,0.0116675,0.0038443,0.0342292,-0.0202838,-0.0118403,0.0726374,-0.0272957,0.2006164,0.0341539,-0.0050427,-0.0722164,0.0112086,0.0432458,-0.1835207,-0.0870165,-0.0499946,0.0577025,-0.0597844,0.0748590,-0.1143974,-0.0499761,-0.0182465,0.1036276,-0.0181035,-0.1811901,0.2547049,0.1072616,-0.0105777,-0.0763182,0.0946834,-0.1106071,-0.0086283,0.1060751,-0.0489375,-0.0132460,-0.0676722,0.0305763,0.0848622,0.0404387,0.0924238,0.0448858,-0.0774249,0.0447544,0.0472879,-0.0655747,-0.0976218,-0.0711536,0.0638683,0.0844726,0.1354388,-0.0197607,-0.0015846,-0.0079941,-0.0365301,-0.0177122,0.0156524,-0.0484219,0.0088427,-0.2302703,-0.0365396,-0.0162352,0.0158870,0.0404176,-0.0674939,0.0135292,0.2927001,-0.0133252,0.0045938,-0.0623002,0.1578484,-0.0358161,-0.0261109,0.0166262,-0.1216786,0.0374665,0.0471441,-0.0183910,-0.1305826,-0.0216311,0.0165716,0.0860127,0.0291533,0.0117268,-0.0314764,-0.0000748,0.2726559,-0.0245099,0.0325972,-0.1489132
NEM,0.0128061,0.0562668,0.0306748,-0.1287747,0.0201633,0.0127409,-0.1719355,-0.0718738,0.0192225,0.0163170,-0.0721435,0.0842697,0.1734715,-0.0199576,-0.1567850,-0.0649711,0.0260571,-0.0330726,-0.0748787,-0.1561329,-0.0695678,0.0639516,-0.1755383,0.1585056,-0.1170946,-0.0872340,0.0481740,-0.1371386,0.0257732,-0.0703518,0.1265766,-0.0311875,0.0115559,-0.0705834,0.1167691,0.0428459,-0.0467395,-0.0652432,-0.1882403,-0.0057322,0.0623690,0.2244697,-0.0966962,0.0071365,0.1359610,0.0101365,-0.0791200,-0.3126572,-0.0128049,0.1087091,0.0935933,-0.0906775,-0.0347637,0.1232414,0.2940882,0.0433604,0.2241187,0.0408229,0.1485485,0.0790535,0.0752554,-0.0551564,-0.1209222,-0.0772879,-0.0459631,0.1106181,0.0496313,-0.0932180,0.0226460,-0.0294289,-0.0129090,0.0258516,0.0711533,0.0476059,0.0036988,-0.0450118,-0.0104741,0.1142061,-0.0772500,0.0346789,0.0892904,-0.0290865,-0.0396138,-0.0427945,-0.0667924,-0.1417027,0.0275723,0.0477749,0.0471580,0.0161050,-0.0099795,-0.0083012,0.0959641,-0.1762139,0.1811258,0.0734511,-0.0078349,0.0355357,-0.0274530,0.0164663,0.0061713,0.0945566,0.0644408,0.0908094,-0.0301629,0.3008501,-0.0358623,0.0143825,0.1277705,-0.0277457,-0.0670333,-0.0387128,-0.0251906,0.0170010,-0.0155466,-0.0765835,0.1430673,0.0329794,0.1382962,-0.1428376,-0.0360734,-0.0576254,-0.0534177
GIL,-0.0867309,0.0462662,-0.0737005,-0.2127303,0.1617021,0.1419414,0.0850040,0.0635625,-0.1003610,0.0882825,0.0088496,0.1637427,-0.0251256,0.1101804,-0.0452699,0.0814590,0.0438449,-0.0171215,0.0489929,0.0129735,0.0655738,-0.0283654,0.0593765,0.0714619,0.0039233,0.0086843,0.0447697,0.0395550,0.0780816,-0.0481618,-0.0328312,-0.0207668,0.1182708,0.0120350,0.0587387,-0.0054459,-0.0311431,-0.0233133,0.0636528,-0.0884053,0.0048489,0.0883445,0.0139836,0.0322906,0.0195503,0.0437840,0.0284752,-0.0253052,-0.0650580,0.0035936,-0.0625000,0.0847222,-0.0706680,-0.1250000,0.0261905,0.1585460,0.0333778,-0.0438993,-0.0702228,0.1289034,-0.0347379,-0.0539820,-0.0700951,0.0121212,-0.0101048,-0.0517958,-0.0094974,0.0495406,0.0491054,-0.0087083,0.1310395,-0.0278317,0.0186418,0.0049020,0.0071545,-0.0284146,0.0644732,0.0024977,-0.0485830,-0.0543372,0.0131533,-0.0184489,0.0034807,-0.0221991,0.0578219,-0.0130785,-0.0366972,0.1160494,0.0249684,-0.0286772,0.0952381,0.0272464,0.0335779,0.0191100,-0.0133941,0.0532175,-0.0394432,0.0048309,-0.0681090,-0.2318716,0.0798507,0.0283345,-0.0534274,-0.1423500,-0.4859272,0.0861514,0.0941438,0.0223577,0.1769384,0.0889640,0.0444674,0.0584158,0.2221703,0.0619977,-0.0843243,0.1951987,0.0042805,0.1537705,0.0215970,0.0013908,-0.0422222,0.1438515,-0.0286511
