Portfolio 2,10/1/2011,10/31/2011,11/30/2011,12/30/2011,1/29/2012,2/28/2012,3/29/2012,4/28/2012,5/23/2012,6/22/2012,7/22/2012,8/21/2012,9/20/2012,10/20/2012,11/19/2012,12/19/2012,1/18/2013,2/15/2013,3/17/2013,4/16/2013,5/16/2013,6/15/2013,7/15/2013,8/14/2013,9/13/2013,10/13/2013,11/12/2013,12/12/2013,1/11/2014,2/10/2014,3/12/2014,4/11/2014,5/11/2014,6/10/2014,7/10/2014,8/9/2014,9/8/2014,10/8/2014,11/7/2014,12/7/2014,1/6/2015,2/5/2015,3/7/2015,4/6/2015,5/6/2015,6/5/2015,7/5/2015,8/4/2015,9/3/2015,10/3/2015,11/2/2015,12/2/2015,12/30/2015,1/29/2016,2/28/2016,3/29/2016,4/28/2016,5/25/2016,6/24/2016,7/24/2016,8/23/2016,9/22/2016,10/22/2016,11/21/2016,12/21/2016,1/20/2017,2/17/2017,3/19/2017,4/18/2017,5/18/2017,6/17/2017,7/17/2017,8/16/2017,9/15/2017,10/15/2017,11/14/2017,12/14/2017,1/13/2018,2/12/2018,3/14/2018,4/13/2018,5/13/2018,6/12/2018,7/12/2018,8/11/2018,9/10/2018,10/10/2018,11/9/2018,12/9/2018,1/8/2019,2/7/2019,3/9/2019,4/8/2019,5/8/2019,6/7/2019,7/7/2019,8/6/2019,9/5/2019,10/5/2019,11/4/2019,12/4/2019,1/3/2020,2/2/2020,3/3/2020,4/2/2020,5/2/2020,6/1/2020,7/1/2020,7/31/2020,8/30/2020,9/29/2020,10/29/2020,11/28/2020,12/28/2020,1/27/2021,2/26/2021,3/28/2021,4/27/2021,5/27/2021,6/26/2021,7/26/2021,8/25/2021,9/24/2021
JLL,-0.2775303,0.3737245,-0.0030950,-0.0490531,0.2205354,0.0778387,0.0291599,-0.0361707,-0.0917268,-0.0260845,-0.0335148,0.0483106,0.1307605,-0.0347543,-0.0080300,0.1036689,0.0410505,0.1385612,0.0006095,-0.0439594,0.0194329,-0.0726042,0.0616646,-0.0873889,0.0008115,-0.0214294,0.1110322,0.0528447,0.0548472,0.1297966,0.0442388,-0.0506586,0.0078801,0.0552392,0.0397036,0.0086754,0.0195055,-0.0534046,0.1098114,0.0324801,0.0156250,0.0871795,-0.0033333,0.0724427,-0.0466608,0.0543143,0.0197869,0.0239380,-0.1720020,-0.0034532,0.1317434,-0.0055232,-0.0440043,-0.1139097,-0.2746589,0.1545018,0.0273252,0.0054945,-0.1179986,0.0575992,0.0668192,0.0026598,-0.1074790,-0.0339406,0.0115125,-0.0212912,0.1458415,-0.0638975,-0.0207625,0.0370579,0.0872987,0.0416840,-0.0245208,-0.0117088,0.0879039,0.1431726,-0.0308440,0.0431674,0.0013838,0.1308153,-0.0002328,-0.0142017,0.0093287,-0.0197719,-0.1183983,-0.0205781,-0.0776833,0.0492319,-0.0708470,0.0149885,0.0973874,0.1169692,-0.0438651,-0.0916904,-0.0626734,0.0511536,0.0190614,-0.0304662,-0.0204619,0.1259326,0.1150278,0.0330402,-0.0021859,-0.1249279,-0.3931089,0.0969388,0.0141514,0.0017564,-0.0365283,0.0417551,-0.0671584,0.1766542,0.1696729,0.1551138,-0.0035992,0.1426507,0.0216692,0.0181716,0.1131617,0.0037725,0.0344674,0.1537358,0.0337270
DOW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0817148,-0.0224848,-0.0541910,-0.0842951,-0.0240828,0.0417435,0.1992473,-0.0348902,0.0026779,-0.1083556,-0.1322208,-0.3089250,0.1794506,0.1678766,0.0554261,0.0076074,0.0988797,0.0321365,-0.0068714,0.1461622,0.0241464,0.0018420,0.0904578,0.0773900,-0.0195618,0.0959298,-0.0838916,-0.0141494,0.0299952,-0.1105370
MDT,-0.0875431,0.0927965,0.0486471,0.0499588,0.0156863,-0.0064350,0.0158031,-0.0257587,-0.0056497,0.0324675,-0.0117925,0.0909573,0.0493437,-0.0157517,-0.0160038,0.0150682,0.0761074,0.0723714,-0.0426570,0.0341388,0.0640943,0.0779613,0.0033639,0.0281244,-0.0293478,0.0300485,0.0489219,-0.0386941,0.0646900,-0.0580591,0.0720301,-0.0105298,0.0302365,0.0142646,0.0260265,-0.0220577,0.0434993,0.0148217,0.0360566,0.0982379,-0.0477337,0.0575681,0.0209772,0.0059818,-0.0392968,0.0153391,-0.0255765,0.0576635,-0.1001672,0.0127179,0.0688585,0.0047525,0.0290682,-0.0207662,0.0193625,-0.0246802,0.0569687,0.0212873,0.0268870,0.0439587,0.0101243,0.0002278,-0.0514689,-0.0326531,-0.1116902,0.0476390,0.0424210,0.0322008,-0.0133874,0.0257687,0.0799757,-0.0329250,-0.0169649,-0.0293144,-0.0534584,0.0183970,0.0337292,0.0426494,-0.0595406,0.0256730,-0.0331713,0.0830715,0.0059178,0.0136117,0.0326619,0.0620454,-0.0134897,-0.0074682,0.0118694,-0.1303938,0.0706973,0.0348706,-0.0327174,0.0001124,0.0911236,0.0093708,0.0328504,0.0640063,-0.0042703,-0.0010255,0.0447037,0.0173307,0.0360906,-0.1490804,-0.1419323,0.1057458,0.0194205,-0.0493255,0.0450607,0.1139096,-0.0444775,-0.0128542,0.1216336,0.0125770,-0.0315296,0.0490583,0.0187227,0.0907184,-0.0370855,-0.0112665,0.0349927,0.0505973,-0.0336678
NDAQ,-0.0362851,0.1228149,0.0479042,-0.0662857,0.0322317,0.0525692,-0.0304168,-0.0484121,-0.1282974,-0.0018340,0.0174552,0.0708804,-0.0008432,0.0181435,-0.0343970,0.0824034,0.0757335,0.1571695,0.0399099,-0.1135871,0.0740223,0.0741222,0.0332930,-0.0638547,-0.0222153,0.0729600,0.0691918,0.0820084,0.0092807,-0.0418902,0.0503866,-0.1175127,0.0592465,0.0084171,0.0393107,0.0873057,0.0312128,-0.0261091,0.0410439,0.0542388,0.0285344,0.0151324,0.0496894,-0.0023669,-0.0318308,0.0318562,-0.0350287,0.0537326,-0.0044764,0.0488759,0.1122088,-0.0194403,0.0068236,0.0504914,0.0208065,0.0360246,-0.0413299,0.0207262,-0.0381679,0.0863492,0.0309760,-0.0017007,-0.0587734,-0.0049774,0.0230408,-0.0019262,0.0633457,-0.0103482,-0.0235976,-0.0341534,0.0659275,0.0049199,0.0787523,-0.0307313,-0.0085619,0.0250978,0.0197446,0.0380793,-0.0355633,0.0878030,0.0184900,0.0520191,0.0544248,-0.0204574,-0.0146728,0.0152174,-0.1223769,0.1028425,-0.0365044,-0.0863375,0.0909776,-0.0322506,0.0564151,0.0251239,0.0568194,0.0486689,-0.0494843,0.0643714,-0.0295040,-0.0042420,0.0671468,0.0291797,0.0878279,-0.0655404,-0.1463614,0.1295232,0.1201357,0.0158143,0.0873634,0.0236844,-0.0970094,0.0051903,0.0490124,0.0067193,0.0958479,-0.0206091,0.0907513,0.0660302,0.0322139,0.0670563,0.0534696,0.0270661,0.0268747
ETR,-0.0058516,0.0714064,0.0172040,0.0382319,-0.0358658,-0.0499787,0.0002989,-0.0204691,-0.0216496,0.0394265,0.0644678,-0.0276056,-0.0033314,0.0337160,-0.1206242,0.0273381,-0.0060691,-0.0256857,0.0489829,0.0786534,0.0020135,-0.0150710,0.0434276,-0.0750000,-0.0474105,0.0280552,-0.0285230,-0.0284082,-0.0098007,0.0491587,-0.0094340,0.1166667,0.0572850,0.0524334,0.0053654,-0.0781449,0.0523777,0.0428291,0.0384326,0.0164490,0.0339124,-0.0042583,-0.1366158,0.0630522,-0.0457121,-0.0482977,0.0048530,-0.0536774,-0.0815106,0.0631846,0.0235927,-0.0472648,0.0393216,0.0192058,0.0230944,0.1024789,-0.0650672,0.0020191,0.0476894,0.0444929,-0.0313037,0.0357369,-0.0937232,-0.0762792,0.0654779,-0.0237311,0.0230908,0.0224337,0.0224734,-0.0145663,0.0492279,-0.0489308,0.0331967,0.0096006,0.0575631,0.0480758,-0.0544498,-0.0603678,-0.0391400,0.0384564,0.0148387,-0.0012715,-0.0199873,0.0675500,0.0178876,0.0184100,-0.0262942,0.0314647,0.0419589,-0.0364554,0.0508731,0.0408774,0.0040443,-0.0011660,0.0676006,0.0374751,0.0208872,0.0746129,0.0287336,0.0067917,-0.0040476,0.0052493,0.1133665,-0.0779181,-0.2763968,0.0818594,0.0760847,-0.0580444,0.0869520,-0.0569771,-0.0338915,0.0595114,0.0726251,-0.1211759,-0.0214301,-0.0726418,0.1422647,0.0744252,-0.0163319,-0.0235687,0.0141698,0.0964540,-0.1137183
VOYA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0963303,0.1220997,0.0400000,-0.0205346,0.0046589,0.1430937,-0.0104318,0.0374817,-0.0265312,0.0420412,-0.0317195,0.0224138,0.0233277,-0.0035704,0.0148842,0.0722433,-0.0222898,0.0494819,0.0409775,-0.0533555,0.0085170,0.1100348,-0.0192437,-0.0175679,0.0817464,0.0023615,-0.0029985,-0.0973147,-0.0587815,0.0359039,-0.0114718,-0.0842752,-0.1795009,-0.0398954,0.0214578,0.0800267,0.0137825,-0.2015106,-0.0310253,0.1112847,0.0203795,0.0564738,0.2242503,0.0689563,-0.0109589,0.0612969,-0.0632458,-0.0853503,-0.0298050,0.0760838,-0.0010672,0.0264423,-0.0132709,0.0466772,0.0403124,0.1019617,0.1643956,-0.0926765,0.1233618,-0.0522222,0.0281360,0.0083618,-0.1042216,0.0305070,-0.0157207,0.0257208,-0.0772497,-0.0760465,-0.0106736,0.1555982,0.0195021,0.0691901,0.0222687,0.0020480,0.0514679,-0.0644990,-0.0375897,0.0198234,0.0700539,0.0312950,0.0470875,0.0059960,-0.1057947,-0.3058693,0.1776474,0.0453001,-0.0086674,0.0797814,0.0508097,-0.0830283,0.0084034,0.2006250,0.0076349,-0.0513174,0.0942095,0.0391506,0.0838123,-0.0399175,-0.0618288,0.0295993,0.0424079,-0.0708517
WY,-0.1384181,0.1790164,-0.0661846,0.1119714,0.0873058,0.0344828,0.0423810,-0.0698949,-0.0274725,0.0626605,0.1140648,0.0516269,0.0833333,0.0750190,-0.0797024,0.0719784,0.0998205,0.0072297,-0.0146819,0.0132450,0.0447712,-0.1035346,0.0244243,-0.0534741,0.0215905,0.0320535,-0.0051195,0.0164666,0.0320621,-0.0186396,-0.0136621,-0.0635135,0.0941558,0.0300033,0.0425736,-0.0144305,0.0591900,-0.0552941,0.0678705,0.0527697,-0.0011077,-0.0155254,-0.0554773,-0.0307096,-0.0412181,0.0093038,0.0085823,-0.0208005,-0.1020277,0.0025090,0.0993922,0.0328455,-0.0568853,-0.1558998,0.0144475,0.1943803,0.0319046,-0.0137974,-0.1182830,0.1716552,-0.0292398,0.0171211,-0.0299252,0.0167095,-0.0259166,-0.0191434,0.0990164,-0.0041766,0.0413421,-0.0592635,0.0409786,-0.0188014,-0.0446108,0.0338452,0.0615338,0.0336950,-0.0151934,-0.0249649,-0.0115075,0.0256112,0.0269580,0.0055264,0.0541358,-0.0495308,-0.0696654,0.0056014,-0.1468777,-0.0780069,-0.0424898,-0.0805761,0.0969517,-0.0027017,0.0483746,-0.0538944,-0.0717909,0.1109710,-0.0783201,0.0915435,0.0157954,0.1181044,-0.0198675,-0.0054054,-0.0414402,-0.0527994,-0.4074074,0.1224747,0.1839145,0.0546318,0.2527027,0.0898957,-0.0745629,0.0128342,0.0221753,0.1608127,-0.0447938,0.0518634,0.0395630,0.1184323,-0.0269172,-0.1127349,0.0194118,0.0173110,0.0547362
APTV,#N/A,#N/A,#N/A,0.0332188,0.2572062,0.1772487,-0.0033708,-0.0338219,-0.1050038,-0.0415078,-0.0048608,0.0896980,0.0929095,0.0100671,0.0317460,0.0683363,0.0890824,0.0433022,0.0701702,0.0178571,0.0792215,0.0894082,0.0741432,0.0099848,0.0242854,0.0083928,-0.0384935,0.0489072,0.0402311,0.0396668,0.0732545,-0.0337718,0.0382634,0.0380936,-0.0068271,-0.0209658,0.0498508,-0.1163685,0.1029328,0.0452908,-0.0516987,0.1000346,0.0407489,0.0610733,0.0084058,0.0333428,-0.0287121,-0.0824887,-0.0586069,0.0733377,0.0736411,0.0263046,-0.0153512,-0.2495861,0.0268432,0.1085049,0.0145372,-0.1056681,-0.0872542,0.1009810,-0.0069881,0.0348346,-0.0853451,0.0691450,0.0074757,0.0212252,0.0552680,0.0750000,-0.0834560,0.1450137,0.0161290,0.0628019,0.0236364,0.0647044,-0.0220448,0.0235165,-0.0113095,0.1145093,-0.0121003,-0.0234033,-0.0424412,0.1194012,0.0652946,-0.0868883,-0.0036516,-0.0781503,-0.1156455,-0.0001322,-0.1360751,0.0257156,0.1374422,0.0834427,0.0715670,-0.0991072,-0.0792775,0.0459128,0.0837567,0.0597356,-0.0472950,0.1383333,-0.0339887,0.0187290,-0.0784272,-0.0709179,-0.4341566,0.4097390,0.1924693,-0.0159186,0.0308937,0.1076527,0.0673479,0.0696258,0.2072823,0.0795282,-0.0014047,0.1709909,-0.0985051,0.0860971,0.0284916,0.0252502,0.0326438,-0.0145853,-0.0405920
LBTYA,-0.1607419,0.1909147,-0.0195876,0.0415352,0.1155982,0.0823529,0.0117057,-0.0061983,-0.0275657,0.0165722,0.0712141,0.0652783,0.0473684,0.0753769,-0.0844459,0.1082756,0.1026316,-0.0285189,0.0400884,0.0913505,0.0177976,-0.0497268,0.1075331,-0.0415369,0.0132719,-0.0066827,0.0209903,0.0764365,0.0612145,-0.0842178,0.0549257,-0.1296871,0.1240395,0.0288086,-0.0204082,-0.0438469,-0.0093742,0.0445013,0.0781097,0.0590506,-0.0358139,0.0402580,0.0949326,-0.0371021,0.0026364,0.0558252,-0.0325670,0.0398020,-0.0957913,-0.0503370,0.0126414,-0.0608848,-0.0464513,-0.1491098,0.0706190,0.0456026,-0.0098650,-0.0350923,-0.2124692,0.0763889,0.0406452,0.0514569,-0.0512972,0.0264139,-0.0596427,0.1226658,0.0642919,-0.0029932,-0.0687773,-0.1222157,-0.0196995,0.1198910,0.0495742,-0.0460736,-0.0100243,-0.0994170,0.1015332,0.1308382,-0.0281729,-0.0723332,-0.0655340,-0.0188312,-0.0026473,-0.0451228,-0.0427380,0.0087114,-0.0942785,-0.0019865,-0.0589172,-0.1218274,0.2263969,-0.0231736,0.1154001,-0.0663302,0.0131274,0.0285823,-0.0529826,0.0555556,-0.0737583,0.0108043,-0.1254949,0.0009054,-0.0746269,-0.0474096,-0.1693176,0.3915998,-0.0115402,-0.0175123,0.0699269,-0.0017087,-0.0847240,-0.1112669,0.1846397,0.0857016,0.0323108,-0.0241680,0.0373528,0.0093933,0.0426522,0.0394199,-0.0586762,0.0687951,0.0565434
BBY,-0.1077047,0.1858047,0.0327869,-0.1373200,0.0860077,0.0063042,-0.0301488,-0.1090028,-0.1512644,0.0395450,-0.0265763,-0.0412206,0.0100503,-0.0547264,-0.1959064,-0.1345455,0.2504202,0.1499659,0.3117961,0.0691369,0.0946746,0.0583012,0.0798978,0.0699324,0.2087149,0.0347440,0.1050240,-0.0808773,-0.0837683,-0.3152469,0.0198098,-0.0089355,0.0290082,0.1234286,0.0339098,-0.0278780,0.0843455,-0.0196017,0.1164710,0.0400796,0.0235037,-0.0363151,0.1036298,-0.0406729,-0.0756347,-0.0223669,-0.0347524,-0.0411041,0.1489362,0.0261438,-0.0597134,-0.1278577,-0.0415356,-0.0830598,0.1596849,-0.0213029,0.0299685,-0.0123191,-0.0598690,0.0769486,0.2081922,-0.0193729,0.0257343,0.1568677,0.0256298,-0.0739000,0.0104981,0.0068523,0.0652031,0.0434872,0.1019159,0.0037641,0.0833929,-0.0339542,-0.0631292,0.0417046,0.1145105,0.1356863,-0.0283149,-0.0063966,0.0175966,0.1000984,-0.0536741,0.0086428,0.0318650,0.0031141,-0.0844651,-0.0422436,-0.1346806,-0.0214797,0.0254355,0.1675161,0.0887660,-0.0179096,-0.1328253,0.1299435,-0.0597222,-0.0286558,0.0161192,0.1195750,0.0584147,0.1010356,-0.0220234,-0.1021581,-0.3107773,0.4094011,0.0422270,0.1270968,0.1401259,0.1136660,-0.0074835,0.0199855,-0.0309939,-0.0571691,0.1071359,-0.1164040,0.1439960,0.0309233,-0.0017744,-0.0280176,0.0000000,0.0614822,-0.1407006
