Date, Open, High, Low, Close
09/24/21,1.435,1.463,1.406,1.454
09/23/21,1.311,1.435,1.307,1.435
09/22/21,1.325,1.344,1.296,1.311
09/21/21,1.313,1.347,1.306,1.325
09/20/21,1.371,1.371,1.303,1.313
09/17/21,1.335,1.384,1.328,1.371
09/16/21,1.301,1.351,1.295,1.335
09/15/21,1.291,1.319,1.263,1.301
09/14/21,1.326,1.348,1.274,1.291
09/13/21,1.340,1.350,1.313,1.326
09/10/21,1.303,1.344,1.300,1.341
09/09/21,1.344,1.347,1.292,1.303
09/08/21,1.373,1.377,1.338,1.344
09/07/21,1.326,1.383,1.326,1.373
09/05/21,1.326,1.326,1.326,1.326
09/03/21,1.289,1.335,1.284,1.326
09/02/21,1.300,1.305,1.286,1.289
09/01/21,1.308,1.337,1.291,1.300
08/31/21,1.280,1.309,1.268,1.308
08/30/21,1.305,1.318,1.276,1.280
08/27/21,1.357,1.359,1.304,1.314
08/26/21,1.349,1.369,1.332,1.357
08/25/21,1.295,1.349,1.286,1.349
08/24/21,1.252,1.295,1.252,1.295
08/23/21,1.261,1.282,1.233,1.252
08/20/21,1.246,1.263,1.227,1.261
08/19/21,1.262,1.268,1.222,1.246
08/18/21,1.264,1.299,1.257,1.262
08/17/21,1.276,1.276,1.219,1.264
08/16/21,1.286,1.288,1.240,1.276
08/13/21,1.362,1.366,1.285,1.286
08/12/21,1.337,1.380,1.336,1.362
08/11/21,1.357,1.379,1.306,1.337
08/10/21,1.323,1.364,1.306,1.357
08/09/21,1.303,1.328,1.268,1.323
08/06/21,1.224,1.310,1.222,1.303
08/05/21,1.184,1.227,1.168,1.224
08/04/21,1.175,1.215,1.132,1.184
08/03/21,1.178,1.200,1.154,1.175
08/02/21,1.228,1.246,1.146,1.178
07/30/21,1.272,1.272,1.226,1.228
07/29/21,1.234,1.289,1.231,1.272
07/28/21,1.247,1.273,1.226,1.234
07/27/21,1.297,1.297,1.231,1.247
07/26/21,1.276,1.301,1.221,1.297
07/23/21,1.280,1.312,1.271,1.276
07/22/21,1.292,1.319,1.229,1.280
07/21/21,1.224,1.302,1.194,1.292
07/20/21,1.194,1.225,1.133,1.224
07/19/21,1.294,1.295,1.182,1.194
07/16/21,1.299,1.341,1.293,1.294
07/15/21,1.345,1.351,1.295,1.299
07/14/21,1.423,1.423,1.338,1.345
07/13/21,1.365,1.437,1.331,1.423
07/12/21,1.360,1.378,1.324,1.365
07/09/21,1.298,1.363,1.298,1.360
07/08/21,1.319,1.323,1.246,1.298
07/07/21,1.351,1.372,1.288,1.319
07/06/21,1.437,1.449,1.349,1.351
07/04/21,1.437,1.437,1.437,1.437
07/02/21,1.455,1.472,1.426,1.437
07/01/21,1.469,1.482,1.449,1.455
06/30/21,1.472,1.484,1.436,1.469
06/29/21,1.478,1.510,1.470,1.472
06/28/21,1.528,1.536,1.466,1.478
06/25/21,1.493,1.556,1.482,1.528
06/24/21,1.486,1.506,1.473,1.493
06/23/21,1.467,1.496,1.462,1.486
06/22/21,1.499,1.519,1.463,1.467
06/21/21,1.438,1.502,1.351,1.499
06/18/21,1.509,1.525,1.431,1.438
06/17/21,1.580,1.595,1.446,1.509
06/16/21,1.498,1.585,1.481,1.580
06/15/21,1.498,1.516,1.480,1.498
06/14/21,1.453,1.507,1.453,1.498
